Store,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,StoreType_b,StoreType_c,StoreType_d,Assortment_b,Assortment_c,"PromoInterval_Jan,Apr,Jul,Oct","PromoInterval_Mar,Jun,Sept,Dec",PromoInterval_NoPromo
1,1270.0,9.0,2008.0,0,1.0,2012.0,0,1,0,0,0,0,0,1
2,570.0,11.0,2007.0,1,13.0,2010.0,0,0,0,0,0,1,0,0
3,14130.0,12.0,2006.0,1,14.0,2011.0,0,0,0,0,0,1,0,0
4,620.0,9.0,2009.0,0,1.0,2012.0,0,1,0,0,1,0,0,1
5,29910.0,4.0,2015.0,0,1.0,2012.0,0,0,0,0,0,0,0,1
6,310.0,12.0,2013.0,0,1.0,2012.0,0,0,0,0,0,0,0,1
7,24000.0,4.0,2013.0,0,1.0,2012.0,0,0,0,0,1,0,0,1
8,7520.0,10.0,2014.0,0,1.0,2012.0,0,0,0,0,0,0,0,1
9,2030.0,8.0,2000.0,0,1.0,2012.0,0,0,0,0,1,0,0,1
10,3160.0,9.0,2009.0,0,1.0,2012.0,0,0,0,0,0,0,0,1
11,960.0,11.0,2011.0,1,1.0,2012.0,0,0,0,0,1,1,0,0
12,1070.0,1.0,2010.0,1,13.0,2010.0,0,0,0,0,1,1,0,0
13,310.0,1.0,2010.0,1,45.0,2009.0,0,0,1,0,0,0,0,0
14,1300.0,3.0,2014.0,1,40.0,2011.0,0,0,0,0,0,1,0,0
15,4110.0,3.0,2010.0,1,14.0,2011.0,0,0,1,0,1,1,0,0
16,3270.0,1.0,2010.0,0,1.0,2012.0,0,0,0,0,1,0,0,1
17,50.0,12.0,2005.0,1,26.0,2010.0,0,0,0,0,0,1,0,0
18,13840.0,6.0,2010.0,1,14.0,2012.0,0,0,1,0,1,1,0,0
19,3240.0,1.0,2010.0,1,22.0,2011.0,0,0,0,0,1,0,1,0
20,2340.0,5.0,2009.0,1,40.0,2014.0,0,0,1,0,0,1,0,0
21,550.0,10.0,1999.0,1,45.0,2009.0,0,1,0,0,1,1,0,0
